system:time_start,ndvi
"Jan 1, 2023",0.119
"Jan 1, 2023",0.09
"Jan 4, 2023",0.12
"Jan 4, 2023",0.078
"Jan 6, 2023",0.345
"Jan 6, 2023",0.25
"Jan 9, 2023",0.067
"Jan 9, 2023",0.022
"Jan 11, 2023",0.014
"Jan 11, 2023",0.012
"Jan 14, 2023",0.013
"Jan 14, 2023",0.017
"Jan 16, 2023",0.015
"Jan 16, 2023",0.022
"Jan 19, 2023",0.065
"Jan 19, 2023",0.019
"Jan 21, 2023",0.081
"Jan 21, 2023",0.017
"Jan 24, 2023",0.109
"Jan 24, 2023",0.043
"Jan 26, 2023",0.156
"Jan 26, 2023",0.058
"Jan 29, 2023",0.164
"Jan 29, 2023",0.064
"Jan 31, 2023",0.154
"Jan 31, 2023",0.077
"Feb 3, 2023",0.238
"Feb 3, 2023",0.156
"Feb 5, 2023",0.005
"Feb 5, 2023",-0.014
"Feb 8, 2023",0.262
"Feb 8, 2023",0.166
"Feb 10, 2023",0.247
"Feb 10, 2023",0.151
"Feb 13, 2023",0.342
"Feb 13, 2023",0.231
"Feb 15, 2023",0.339
"Feb 15, 2023",0.223
"Feb 18, 2023",0.227
"Feb 18, 2023",0.153
"Feb 20, 2023",0.331
"Feb 20, 2023",0.216
"Feb 23, 2023",0.245
"Feb 23, 2023",0.186
"Feb 25, 2023",0.121
"Feb 25, 2023",0.101
"Feb 28, 2023",0.261
"Feb 28, 2023",0.306
"Mar 2, 2023",0.322
"Mar 2, 2023",0.334
"Mar 5, 2023",0.344
"Mar 5, 2023",0.264
"Mar 7, 2023",0.363
"Mar 7, 2023",0.278
"Mar 10, 2023",-0.002
"Mar 10, 2023",-0
"Mar 12, 2023",0.038
"Mar 12, 2023",0.035
"Mar 15, 2023",0.239
"Mar 15, 2023",0.138
"Mar 17, 2023",0.087
"Mar 17, 2023",0.057
"Mar 20, 2023",0.295
"Mar 20, 2023",0.199
"Mar 22, 2023",0.303
"Mar 22, 2023",0.241
"Mar 25, 2023",0.002
"Mar 25, 2023",0.005
"Mar 27, 2023",0.128
"Mar 27, 2023",0.062
"Mar 30, 2023",-0.006
"Mar 30, 2023",0.011
"Apr 1, 2023",0.124
"Apr 1, 2023",0.088
"Apr 4, 2023",0.404
"Apr 4, 2023",0.313
"Apr 6, 2023",0.414
"Apr 6, 2023",0.314
"Apr 9, 2023",0.415
"Apr 9, 2023",0.316
"Apr 11, 2023",0.01
"Apr 11, 2023",0.008
"Apr 14, 2023",0.129
"Apr 14, 2023",0.083
"Apr 16, 2023",0.108
"Apr 16, 2023",0.096
"Apr 19, 2023",0.428
"Apr 19, 2023",0.324
"Apr 21, 2023",0.045
"Apr 21, 2023",0.039
"Apr 24, 2023",0.398
"Apr 24, 2023",0.299
"Apr 26, 2023",0.445
"Apr 26, 2023",0.362
"Apr 29, 2023",-0.003
"Apr 29, 2023",0.013
"May 1, 2023",0.016
"May 1, 2023",0.01
"May 4, 2023",0.504
"May 4, 2023",0.431
"May 6, 2023",0.229
"May 6, 2023",0.194
"May 9, 2023",0.09
"May 9, 2023",0.08
"May 11, 2023",0.043
"May 11, 2023",0.052
"May 14, 2023",0.116
"May 14, 2023",0.175
"May 16, 2023",0.03
"May 16, 2023",0.025
"May 19, 2023",0.247
"May 19, 2023",0.187
"May 21, 2023",0.066
"May 21, 2023",0.052
"May 24, 2023",0.268
"May 24, 2023",0.274
"May 26, 2023",0.603
"May 26, 2023",0.5
"May 29, 2023",0.596
"May 29, 2023",0.546
"May 31, 2023",0.555
"May 31, 2023",0.487
"Jun 3, 2023",0.509
"Jun 3, 2023",0.406
"Jun 5, 2023",0.619
"Jun 5, 2023",0.58
"Jun 8, 2023",0.372
"Jun 8, 2023",0.323
"Jun 10, 2023",-0.03
"Jun 10, 2023",0.023
"Jun 13, 2023",0.211
"Jun 13, 2023",0.256
"Jun 15, 2023",0.635
"Jun 15, 2023",0.638
"Jun 18, 2023",0.571
"Jun 18, 2023",0.467
"Jun 20, 2023",0.057
"Jun 20, 2023",0.069
"Jun 23, 2023",0.657
"Jun 23, 2023",0.62
"Jun 25, 2023",0.656
"Jun 25, 2023",0.662
"Jun 28, 2023",0.251
"Jun 28, 2023",0.236
"Jun 30, 2023",0.056
"Jun 30, 2023",0.085
"Jul 3, 2023",0.645
"Jul 3, 2023",0.622
"Jul 5, 2023",0.279
"Jul 5, 2023",0.311
"Jul 8, 2023",0.545
"Jul 8, 2023",0.452
"Jul 10, 2023",0.558
"Jul 10, 2023",0.526
"Jul 13, 2023",0.447
"Jul 13, 2023",0.356
"Jul 15, 2023",0.636
"Jul 15, 2023",0.648
"Jul 18, 2023",0.315
"Jul 18, 2023",0.474
"Jul 20, 2023",0.644
"Jul 20, 2023",0.662
"Jul 23, 2023",0.639
"Jul 23, 2023",0.649
"Jul 25, 2023",0.482
"Jul 25, 2023",0.666
"Jul 28, 2023",0.231
"Jul 28, 2023",0.203
"Jul 30, 2023",0.623
"Jul 30, 2023",0.631
"Aug 2, 2023",0.472
"Aug 2, 2023",0.573
"Aug 4, 2023",0.56
"Aug 4, 2023",0.414
"Aug 7, 2023",0.628
"Aug 7, 2023",0.663
"Aug 9, 2023",0.275
"Aug 9, 2023",0.28
"Aug 12, 2023",0.589
"Aug 12, 2023",0.546
"Aug 14, 2023",0.643
"Aug 14, 2023",0.666
"Aug 17, 2023",-0.011
"Aug 17, 2023",-0.035
"Aug 19, 2023",0.561
"Aug 19, 2023",0.631
"Aug 22, 2023",0.645
"Aug 22, 2023",0.663
"Aug 24, 2023",0.617
"Aug 24, 2023",0.594
"Aug 27, 2023",0.031
"Aug 27, 2023",0.021
"Aug 29, 2023",-0.015
"Aug 29, 2023",0.025
"Sep 1, 2023",0.654
"Sep 1, 2023",0.653
"Sep 3, 2023",0.439
"Sep 3, 2023",0.546
"Sep 6, 2023",0.659
"Sep 6, 2023",0.671
"Sep 8, 2023",0.659
"Sep 8, 2023",0.667
"Sep 11, 2023",0.525
"Sep 11, 2023",0.524
"Sep 13, 2023",0.015
"Sep 13, 2023",0.034
"Sep 16, 2023",0.64
"Sep 16, 2023",0.639
"Sep 18, 2023",0.019
"Sep 18, 2023",0.007
"Sep 21, 2023",0.117
"Sep 21, 2023",0.104
"Sep 23, 2023",0.399
"Sep 23, 2023",0.462
"Sep 26, 2023",0.689
"Sep 26, 2023",0.688
"Sep 28, 2023",0.578
"Sep 28, 2023",0.628
